Wojewodztwo,Miejscowosc,Kategoria_PL,Kategoria_FR,Nazwa
,GRODNO,Skóry,Cuirs,"Litman Sz., Podolna 10"
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Grondowski A."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Grosowicz S."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Gurwicz Ch."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Hołownicz J."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Indurska F."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Jelin F."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Jelin Sz."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Kac Ch."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Kamiński Ch."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Kamińska Ch."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Kantor L."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Manusiewicz"
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Matulewicz A."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Mostowski A."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Mozgowski B."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Nomiejska S."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Nomiejski R."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Ostrowski I."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Pruczański J."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Prywalski J."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Rubinsztejn J."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Russki i F."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Sitowski J."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Slep I."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Slepom Ch."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Suchowlański Sz."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Szajkowski Sz."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Szulkies Z."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Szuruch D."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Werebejczyk W."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Wierciliszki Ch."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Wigierski E."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Wilin A."
BIAŁOSTOCKIE,Grodno,Tapicerzy,Tapissiers,"Wolikow H."
