Wojewodztwo,Miejscowosc,Kategoria_PL,Kategoria_FR,Nazwa
BIAŁOSTOCKIE,Gródek,Mlyny,moulins,Jelin S.
BIAŁOSTOCKIE,Gródek,Mlyny,moulins,Rudy R. (par).
BIAŁOSTOCKIE,Gródek,Mlyny,moulins,Kapłan Sz. (par).
BIAŁOSTOCKIE,Gródek,Murarze,maçons,Kondłusik J.
BIAŁOSTOCKIE,Gródek,Murarze,maçons,Michalewicz E.
BIAŁOSTOCKIE,Gródek,Mydlo-fabr.,fabr. de savons,Rutkowski K.
BIAŁOSTOCKIE,Gródek,Oleje,huiles,Berkowicz J.
BIAŁOSTOCKIE,Gródek,Oleje,huiles,Maczyk.
BIAŁOSTOCKIE,Gródek,Piekarze,boulangers,Cemnik Grinzbejn
BIAŁOSTOCKIE,Gródek,Piekarze,boulangers,Szwarc J.
BIAŁOSTOCKIE,Gródek,Piekarze,boulangers,Żotkiewicz I.
BIAŁOSTOCKIE,Gródek,Piwiarnie,"brasseries débit",Podkoński
BIAŁOSTOCKIE,Gródek,Piwiarnie,"brasseries débit",Kronsztadt
BIAŁOSTOCKIE,Gródek,Piwiarnie,"brasseries débit",Rozenberg
