lp,Nazwy ulic w 1932 roku,Po białorusku,Po rosyjsku,Zapis alfabetem łacińskim + komentarze
83,Kolejowa,Красноармиейска,,Krasnoarmiejska
84,Kołowa?,,,Nie istnieje, powinna znajdować w okolicy ulic Zernova
85,Kołoża,Коложа,,Kołoża
86,"Konna (d. z-k Artyler.)",Захарова,,Przedłużona Zacharova ??
87,Konopiana,Пугачева,,Pugacheva patrz (Solna i Konopna (Konopiana) zespolone)
88,Kosynierska,Минаева,,Minajeva
89,Kościuszki,Костюшко,,Kościuszko
90,Kozia,,,Boczna obecnej ulicy Podolnaja w okolicy cementarza Farnego
91,"Krasińskiego Z.",,,możliwe że to uliczka pomiędzy 17 Sentjabra a Mickievicha
92,"Kraszewskiego J.I.",Гоголя,,Gogolja
93,Krawiecka,,,Nie istnieje, ulica mieszcząca się kiedyś w okolicach Rybiego rynku, dziś pomiędzy ulicami Bolszaja i Malaja Troskaja, równoległa do nich
94,Krecia,,,Nie istnieje, ulica mieszcząca się kiedyś w okolicach Rybiego rynku, dziś pomiędzy ulicami Bolszaja i Malaja Troskaja, równoległa do nich
95,Krochmalna,,,Nie istnieje, ulica mieszcząca się kiedyś w okolica Rybiego rynku, dziś równoległa do ulic Bolszaja i Malaja Troskaja
96,Krucza,Герасимовича,,Gierasimovicha
97,"Kryniczna (N.Kolonja)",,,Nie istnieje, boczna obecnej ulicy Prigorodnaja w okolicach cementarza Farnego
98,Krzywa,Малая Троицкая,,Malaja Trockaja
99,"Krzyżaki (maj. Stanisławów)",Кохановского,,Kochanowskovo patrz Krzyżaki maj. Stanisławowski
100,Kundzińska,Пучкова ??,,Puchkovaja ?? może niedaleko Suvorova
101,Kurhan,,,nie istnieje? Obecnie ulice Sverdlova i Parizhskoj Komuny łączy ul. Socjalisticheskaja
102,Kurpiowska,,,Obecne okolica ulic Rozanova oraz Vishnieva (zapewna jedna z nich)
103,Kurza,,,Nie istnieje, ulica mieszcząca się kiedyś w okolicach Rybiego rynku, dziś pomiędzy ulicami Bolszaja i Malaja Troskaja
104,"Kręta boczna ul. Podzamcze",,,Nie istnieje teraz zapewne część ulicy Dawida Grodeneskovo
105,Legionowa,Белуша,,Bjelusza
106,"Lelewela J.",Лелевела,,Lelvela
107,Lenkiewicza,Пролетарская,,Proletarackaja
108,"Lewa - Nadbrzeżna",Левонадбережная,,Levonadberejzhnaja
109,"Lewusza (d. Szkolna)",,,Nie istnieje, ulica mieszcząca się kiedyś w okolica Rybiego rynku, dziś pomiędzy ulicami Bolszaja Trockaja w okolicach Synagogi Głównej (za Synagogą)
110,Lidzka,Лидская,,Lidzka
111,Lipowa,Горновых,,Gornowych
112,"11 Listopada (Kresowa)",17 Сентября,,17 Sjentjabrja
113,Listowskiego,"Кірава ул. Кирова С. М.",,Kirowa
114,Litewska,,,boczna Mickievicha przeciwna do Krasińskiego
115,"Liońska (d. Dzielna)",,,Nie istnieje, kiedyś równoległa do Akademickiej i Północnej
116,Lipska,,,Nie wiadomo czy istnieje powinna być prostopadła do ulic Gdanskaja oraz powinna być przedłużeniem ulicy Solonechnaja
117,"Łabieńska (od Lipowej)",,,Nie istnieje obecnie powinna być boczną ulicy Gornovyh, równoległą do ulic Sovieckih Pogranchników oraz ulicy Ordhonikidze
118,Łososiańska,Советских Пограничников,,Sowieckich Pograniczników
119,Łowiecka,,,Gagarina obok ulicy Ogrodnaja (kościoł Franciszkański)
120,Magistracka,,,prawdopodobnie istnieje łączy ulice Sowietskaja z Bolshaja Trockaja.nieznana obecnie nazwa
121,Makowa,,,Nie istnieje obecnie teren parku Zylibera
122,"Mała (N. Kolonja)",,,Boczna obecnej ulicy Prigorodnaja w okolicach cementarza Farnego
123,Mazowiecka,Мазовиецкая,,Mazovieckaja
124,Mickiewicza,Мицкиевича,,Mickiewicza
125,"Mięsna (d. Rynkowa)",Октябрьская,,Oktjabraskaja?? łączy ulice Sowietskaja z Bolshaja Trockaja
126,Migowska,,,Nie istnieje, obecnie powinna być ulicą boczną Nikolajeva (Ekonomicznej) i równoległa do ulicy Solonechnej
127,"Mikołaja Św (d. Szpitalna)",,,Nie istnieje powinna wychodzi z Palacu Tyzenhauza w kierunku Pier. Wilenskovo
128,Młynarska,Краснопартизантская,,Krasnopartizantskaja część bliżej obecnej ulicy Popovicha
129,Mokra,,,Nie istnieje, obecnie powinna znajdować się pomiędzy ulicami Bolaszaja Trockaja i Sovetskaja (krótka ulica łącząca dwa łączniki kiedyś ulic Towarowej i Mięsnej)
130,"Moniuszki (od. Łosos.)",Монюшко,,Monjushko
131,Monopolowa,,,Obecnie nie istnieje , powinna być ulicą boczną 1 Maja 17 Sentjabra, równoległa (najbliżej) do ulicy Timirazjeva
132,Mostowa,Мостова,,Mostowa (Davyda Grodenskovo)
133,Mydlana,,,Nie istnieje, ulica mieszcząca się kiedyś w okolica Rybiego rynku, dziś pomiędzy ulicami Bolszaja i Malaja Troskaja
134,Mieszczańska,Степана Батория,,Stepana Batorija
135,"Nadbrzeżna (ob. Lewa lub Prawa N.)",Левонабережная ??,,„Prawa”- Podolnaja, „Prawa”- Levonadberejzhnaja
136,"Najdusa (d. Piekarska)",,,Prawdopodobnie istnieje łączy ulice Sowietskaja z Bolshaja Trockaja.nieznana obecnie nazwa. Bliżej per. Wilenskaja
137,Napoleona,Карбышева,,Karbyszeva
138,Narodowa,,,Połączona z Głęboką, boczna od ul Malaja Trockaja, nazwa nie znana ?
139,"Narutowicza (d.Pionierska)",Дзержинского,,Dzierzyńskovo → Pushkina
140,Nazaretańska,Молодёжная,,Molodjezhnaja
141,"Niecała (od Horodnicz)",,,Kiedyś boczna ulicy Horodniczanskiej teraz możliwe że część placu Lenina i Tiznehausa
142,"Niemcewicza. J",Немцевича,,Nemcevicha
143,"Niemeńska (szosa od Rzeźn.)",Нёманская,,Nemenskaja
144,Niska,Коложа,,Kolozha ??
145,"Nochima (rebi d. Szkolna)",Большая Троицкая,,Bolshaja Trockaja + Pereca kiedyś, okolice Synagagi (ul Lewusza)
146,"Objazdowa (od Lipowej)",Объездная,,Objezdnaja
147,Oboźna,,,Nie istnieje, boczna obecnej ulicy Podolnaja w okolicach cementarza Farnego
148,Obronna,,,Nie istnieje, boczna obecnej ulicy Zakręt (boczna ul Podolnaja) w okolicach cementarza Farnego
149,Odelska,Соколовского,,Sokolovskovo
150,Ogrodowa,,,Boczna 11 listopada teraz chyba nie istnieje
151,Orla,Аксёнова,,Aksjenova
152,"Orzeszkowej E.",Ожешко,,Ozheshko
153,Owcza,,,Kolozha ?? raczej nie istnieje
154,Owocowa,,,Nie istnieje, ulica mieszcząca się kiedyś w okolica Rybiego rynku, dziś pomiędzy ulicami Bolszaja i Malaja Troskaja
155,"Osowiecka szosa",Суворова,,Suvorova
156,Peowiacka,Осовиахимовская,,Osoviahimovskaja ???
157,"Pereca (d.Wyzwolenia)",Большая Троицкая,,Bolshaja Trockaja
158,Piaskowa,Павлосково,,Pavloskovo
159,Piesza,,,Nie istnieje, boczna obecnej ulicy Prigorodnaja w okolicach cementarza Farnego
160,Piłsudskiego,Ленина,,Lenina
161,"Piwna (od Wileńskiej)",,,Nie istnieje powinna znajdować się pomiędzy ul. Maksima Gorkovo a per Vilenskim
162,"Plater Emilji",,,Nie istnieje, łączyła kiedyś obecne ulice Puszkina i Rejmonta
163,"Plebańska (od Podolnej)",,,Możliwe że obecnie część tej ulicy łączy ulice Podgornaja z Podolnaja
164,"Płatnerska (od Zamkowej) pomiędzy Szkolną a Cisną",,,Nie istnieje, powinna być ulicą łączącą ulice Zamkovaja z Bolshaja Troickaja
165,"Poczobutta M.",Хмельницкого,,Hmelnickovo ?
166,Pocztowa,Сацыялістычная,Социалистическая,Socjalisticzeskaja
167,Podgórna,Подгорная,,Padgornaja
168,Podhalańska,"Розанова, Вишниева",,Okolice ulic Rozanova i Vishnieva możliwe że któraś z nich
